"","proNotch","antiNotch"
"6183","FURIN","RPE"
"6184","POGLUT1","RPE"
"6185","RAB6A","RPE"
"6186","SEL1L","RPE"
"6187","ST3GAL3","RPE"
"6188","HDAC6","RPE"
"6189","HDAC5","RPE"
"6190","CDK8","RPE"
"6191","HEYL","RPE"
"6192","HDAC2","RPE"
"6193","HIF1A","RPE"
"6194","HES1","RPE"
"6195","HES5","RPE"
"6196","HDAC7","RPE"
"6197","HDAC8","RPE"
"6198","SKP1","RPE"
"6199","TBL1X","RPE"
"6200","TLE1","RPE"
"6201","TLE2","RPE"
"6202","TLE3","RPE"
"6203","TLE4","RPE"
"6204","TBL1XR1","RPE"
"6205","HDAC11","RPE"
"6206","HDAC10","RPE"
"6207","CUL1","RPE"
"6208","HDAC3","RPE"
"6209","CCNC","RPE"
"6210","NCOR1","RPE"
"6211","NCOR2","RPE"
"6212","HDAC9","RPE"
"6213","HDAC4","RPE"
"6214","RBX1","RPE"
"6215","STAT3","RPE"
"6216","NOD2","RPE"
"6217","ITGB1BP1","RPE"
"6218","TSPAN15","RPE"
"6219","TSPAN17","RPE"
"6220","GSX2","RPE"
"6221","NOV","RPE"
"6222","TSPAN14","RPE"
"6223","PDCD10","RPE"
"6224","KIT","RPE"
"6225","TSPAN10","RPE"
"6226","TSPAN33","RPE"
"6227","WNT1","RPE"
"6228","SLC35C2","RPE"
"6229","TSPAN5","RPE"
"6230","C3orf17","RPE"
"6231","ASCL1","RPE"
"6232","AAK1","RPE"
"6233","NOTCH1","RPE"
"6234","EYA1","RPE"
"6235","ERH","RPE"
"6236","FGF10","RPE"
"6237","MESP1","RPE"
"6238","HDAC1","MYO1E"
"6239","PHB2","MYO1E"
"6240","TAGLN","MYO1E"
"6241","ITGAV","MYO1E"
"6242","SLC3A1","MYO1E"
"6243","CANX","MYO1E"
"6244","FLOT1","MYO1E"
"6245","NQO1","MYO1E"
"6246","PCF11","MYO1E"
"6247","F2R","MYO1E"
"6248","LAMB2","MYO1E"
"6249","CD4","MYO1E"
"6250","SLC4A3","MYO1E"
"6251","S100A13","MYO1E"
"6252","CNTN1","MYO1E"
"6253","TCAP","MYO1E"
"6254","STAT5A","MYO1E"
"6255","ARL6IP5","MYO1E"
"6256","ANXA6","MYO1E"
"6257","ABCC8","MYO1E"
"6258","SLC12A3","MYO1E"
"6259","COL18A1","MYO1E"
"6260","HMGCR","MYO1E"
"6261","SFPQ","MYO1E"
"6262","SEC62","MYO1E"
"6263","BRCA1","MYO1E"
"6264","PSMD10","MYO1E"
"6265","PTHLH","MYO1E"
"6266","RBP1","MYO1E"
"6267","P2RY10","MYO1E"
"6268","CD69","MYO1E"
"6269","TARP","MYO1E"
"6270","CD3D","MYO1E"
"6271","RAG2","MYO1E"
"6272","RRAS2","MYO1E"
"6273","ID2","MYO1E"
"6274","CD28","MYO1E"
"6275","GATA3","MYO1E"
"6276","TRAT1","MYO1E"
"6277","EGR2","MYO1E"
"6278","TNFRSF18","MYO1E"
"6279","LCK","MYO1E"
"6280","GZMB","MYO1E"
"6281","BCL2A1","MYO1E"
"6282","CCR7","MYO1E"
"6283","CD83","MYO1E"
"6284","CCL5","MYO1E"
"6285","TRAF1","MYO1E"
"6286","IL12B","MYO1E"
"6287","CX3CL1","MYO1E"
"6288","RELB","MYO1E"
"6289","EGR1","MYO1E"
"6290","CARD11","MYO1E"
"6291","NFKB2","MYO1E"
"6292","ICAM1","MYO1E"
"6293","IRF7","MYO1E"
"6294","JUNB","MYO1E"
"6295","IL10RA","MYO1E"
"6296","CD86","MYO1E"
"6297","BIRC2","MYO1E"
"6298","BIRC3","MYO1E"
"6299","CD80","MYO1E"
"6300","ZAP70","MYO1E"
"6301","DDR1","MYO1E"
"6302","CD7","MYO1E"
"6303","CD3G","MYO1E"
"6304","TOX","MYO1E"
"6305","GZMA","MYO1E"
"6306","DTX1","MYO1E"
"6307","LAT","MYO1E"
"6308","RAG1","MYO1E"
"6309","PTCRA","MYO1E"
"6310","CD2","MYO1E"
"6311","NFATC1","MYO1E"
"6312","NOTCH3","MYO1E"
"6313","CD74","MYO1E"
"6314","THY1","MYO1E"
"6315","CTLA4","MYO1E"
"6316","MAMLD1","MYO1E"
"6317","CREBBP","MYO1E"
"6318","E2F1","MYO1E"
"6319","E2F3","MYO1E"
"6320","EIF2C3","MYO1E"
"6321","EIF2C4","MYO1E"
"6322","EP300","MYO1E"
"6323","SNW1","MYO1E"
"6324","TNRC6B","MYO1E"
"6325","KAT2A","MYO1E"
"6326","EIF2C1","MYO1E"
"6327","EIF2C2","MYO1E"
"6328","TNRC6A","MYO1E"
"6329","RBPJ","MYO1E"
"6330","JUN","MYO1E"
"6331","MOV10","MYO1E"
"6332","LOC441488","MYO1E"
"6333","NOTCH2","MYO1E"
"6334","NOTCH4","MYO1E"
"6335","MAML3","MYO1E"
"6336","TNRC6C","MYO1E"
"6337","CCND1","MYO1E"
"6338","TFDP1","MYO1E"
"6339","LOC728030","MYO1E"
"6340","MAML2","MYO1E"
"6341","KAT2B","MYO1E"
"6342","MAML1","MYO1E"
"6343","ADAM10","MYO1E"
"6344","DTX2","MYO1E"
"6345","MIB2","MYO1E"
"6346","JAG1","MYO1E"
"6347","DTX4","MYO1E"
"6348","NCSTN","MYO1E"
"6349","DLL1","MYO1E"
"6350","JAG2","MYO1E"
"6351","ARRB1","MYO1E"
"6352","ARRB2","MYO1E"
"6353","APH1A","MYO1E"
"6354","PSENEN","MYO1E"
"6355","PSEN1","MYO1E"
"6356","PSEN2","MYO1E"
"6357","MIB1","MYO1E"
"6358","RPS27A","MYO1E"
"6359","ADAM17","MYO1E"
"6360","RPS27AP11","MYO1E"
"6361","UBA52","MYO1E"
"6362","APH1B","MYO1E"
"6363","DNER","MYO1E"
"6364","ST3GAL6","MYO1E"
"6365","TMED2","MYO1E"
"6366","POFUT1","MYO1E"
"6367","B4GALT1","MYO1E"
"6368","MFNG","MYO1E"
"6369","ATP2A1","MYO1E"
"6370","ATP2A2","MYO1E"
"6371","ATP2A3","MYO1E"
"6372","FURIN","MYO1E"
"6373","POGLUT1","MYO1E"
"6374","RAB6A","MYO1E"
"6375","SEL1L","MYO1E"
"6376","ST3GAL3","MYO1E"
"6377","HDAC6","MYO1E"
"6378","HDAC5","MYO1E"
"6379","CDK8","MYO1E"
"6380","HEYL","MYO1E"
"6381","HDAC2","MYO1E"
"6382","HIF1A","MYO1E"
"6383","HES1","MYO1E"
"6384","HES5","MYO1E"
"6385","HDAC7","MYO1E"
"6386","HDAC8","MYO1E"
"6387","SKP1","MYO1E"
"6388","TBL1X","MYO1E"
"6389","TLE1","MYO1E"
"6390","TLE2","MYO1E"
"6391","TLE3","MYO1E"
"6392","TLE4","MYO1E"
"6393","TBL1XR1","MYO1E"
"6394","HDAC11","MYO1E"
"6395","HDAC10","MYO1E"
"6396","CUL1","MYO1E"
"6397","HDAC3","MYO1E"
"6398","CCNC","MYO1E"
"6399","NCOR1","MYO1E"
"6400","NCOR2","MYO1E"
"6401","HDAC9","MYO1E"
"6402","HDAC4","MYO1E"
"6403","RBX1","MYO1E"
"6404","STAT3","MYO1E"
"6405","NOD2","MYO1E"
"6406","ITGB1BP1","MYO1E"
"6407","TSPAN15","MYO1E"
"6408","TSPAN17","MYO1E"
"6409","GSX2","MYO1E"
"6410","NOV","MYO1E"
"6411","TSPAN14","MYO1E"
"6412","PDCD10","MYO1E"
"6413","KIT","MYO1E"
"6414","TSPAN10","MYO1E"
"6415","TSPAN33","MYO1E"
"6416","WNT1","MYO1E"
"6417","SLC35C2","MYO1E"
"6418","TSPAN5","MYO1E"
"6419","C3orf17","MYO1E"
"6420","ASCL1","MYO1E"
"6421","AAK1","MYO1E"
"6422","NOTCH1","MYO1E"
"6423","EYA1","MYO1E"
"6424","ERH","MYO1E"
"6425","FGF10","MYO1E"
"6426","MESP1","MYO1E"
"6427","HDAC1","COL7A1"
"6428","PHB2","COL7A1"
"6429","TAGLN","COL7A1"
"6430","ITGAV","COL7A1"
"6431","SLC3A1","COL7A1"
"6432","CANX","COL7A1"
"6433","FLOT1","COL7A1"
"6434","NQO1","COL7A1"
"6435","PCF11","COL7A1"
"6436","F2R","COL7A1"
"6437","LAMB2","COL7A1"
"6438","CD4","COL7A1"
"6439","SLC4A3","COL7A1"
"6440","S100A13","COL7A1"
"6441","CNTN1","COL7A1"
"6442","TCAP","COL7A1"
"6443","STAT5A","COL7A1"
"6444","ARL6IP5","COL7A1"
"6445","ANXA6","COL7A1"
"6446","ABCC8","COL7A1"
"6447","SLC12A3","COL7A1"
"6448","COL18A1","COL7A1"
"6449","HMGCR","COL7A1"
"6450","SFPQ","COL7A1"
"6451","SEC62","COL7A1"
"6452","BRCA1","COL7A1"
"6453","PSMD10","COL7A1"
"6454","PTHLH","COL7A1"
"6455","RBP1","COL7A1"
"6456","P2RY10","COL7A1"
"6457","CD69","COL7A1"
"6458","TARP","COL7A1"
"6459","CD3D","COL7A1"
"6460","RAG2","COL7A1"
"6461","RRAS2","COL7A1"
"6462","ID2","COL7A1"
"6463","CD28","COL7A1"
"6464","GATA3","COL7A1"
"6465","TRAT1","COL7A1"
"6466","EGR2","COL7A1"
"6467","TNFRSF18","COL7A1"
"6468","LCK","COL7A1"
"6469","GZMB","COL7A1"
"6470","BCL2A1","COL7A1"
"6471","CCR7","COL7A1"
"6472","CD83","COL7A1"
"6473","CCL5","COL7A1"
"6474","TRAF1","COL7A1"
"6475","IL12B","COL7A1"
"6476","CX3CL1","COL7A1"
"6477","RELB","COL7A1"
"6478","EGR1","COL7A1"
"6479","CARD11","COL7A1"
"6480","NFKB2","COL7A1"
"6481","ICAM1","COL7A1"
"6482","IRF7","COL7A1"
"6483","JUNB","COL7A1"
"6484","IL10RA","COL7A1"
"6485","CD86","COL7A1"
"6486","BIRC2","COL7A1"
"6487","BIRC3","COL7A1"
"6488","CD80","COL7A1"
"6489","ZAP70","COL7A1"
"6490","DDR1","COL7A1"
"6491","CD7","COL7A1"
"6492","CD3G","COL7A1"
"6493","TOX","COL7A1"
"6494","GZMA","COL7A1"
"6495","DTX1","COL7A1"
"6496","LAT","COL7A1"
"6497","RAG1","COL7A1"
"6498","PTCRA","COL7A1"
"6499","CD2","COL7A1"
"6500","NFATC1","COL7A1"
"6501","NOTCH3","COL7A1"
"6502","CD74","COL7A1"
"6503","THY1","COL7A1"
"6504","CTLA4","COL7A1"
"6505","MAMLD1","COL7A1"
"6506","CREBBP","COL7A1"
"6507","E2F1","COL7A1"
"6508","E2F3","COL7A1"
"6509","EIF2C3","COL7A1"
"6510","EIF2C4","COL7A1"
"6511","EP300","COL7A1"
"6512","SNW1","COL7A1"
"6513","TNRC6B","COL7A1"
"6514","KAT2A","COL7A1"
"6515","EIF2C1","COL7A1"
"6516","EIF2C2","COL7A1"
"6517","TNRC6A","COL7A1"
"6518","RBPJ","COL7A1"
"6519","JUN","COL7A1"
"6520","MOV10","COL7A1"
"6521","LOC441488","COL7A1"
"6522","NOTCH2","COL7A1"
"6523","NOTCH4","COL7A1"
"6524","MAML3","COL7A1"
"6525","TNRC6C","COL7A1"
"6526","CCND1","COL7A1"
"6527","TFDP1","COL7A1"
"6528","LOC728030","COL7A1"
"6529","MAML2","COL7A1"
"6530","KAT2B","COL7A1"
"6531","MAML1","COL7A1"
"6532","ADAM10","COL7A1"
"6533","DTX2","COL7A1"
"6534","MIB2","COL7A1"
"6535","JAG1","COL7A1"
"6536","DTX4","COL7A1"
"6537","NCSTN","COL7A1"
"6538","DLL1","COL7A1"
"6539","JAG2","COL7A1"
"6540","ARRB1","COL7A1"
"6541","ARRB2","COL7A1"
"6542","APH1A","COL7A1"
"6543","PSENEN","COL7A1"
"6544","PSEN1","COL7A1"
"6545","PSEN2","COL7A1"
"6546","MIB1","COL7A1"
"6547","RPS27A","COL7A1"
"6548","ADAM17","COL7A1"
"6549","RPS27AP11","COL7A1"
"6550","UBA52","COL7A1"
"6551","APH1B","COL7A1"
"6552","DNER","COL7A1"
"6553","ST3GAL6","COL7A1"
"6554","TMED2","COL7A1"
"6555","POFUT1","COL7A1"
"6556","B4GALT1","COL7A1"
"6557","MFNG","COL7A1"
"6558","ATP2A1","COL7A1"
"6559","ATP2A2","COL7A1"
"6560","ATP2A3","COL7A1"
"6561","FURIN","COL7A1"
"6562","POGLUT1","COL7A1"
"6563","RAB6A","COL7A1"
"6564","SEL1L","COL7A1"
"6565","ST3GAL3","COL7A1"
"6566","HDAC6","COL7A1"
"6567","HDAC5","COL7A1"
"6568","CDK8","COL7A1"
"6569","HEYL","COL7A1"
"6570","HDAC2","COL7A1"
"6571","HIF1A","COL7A1"
"6572","HES1","COL7A1"
"6573","HES5","COL7A1"
"6574","HDAC7","COL7A1"
"6575","HDAC8","COL7A1"
"6576","SKP1","COL7A1"
"6577","TBL1X","COL7A1"
"6578","TLE1","COL7A1"
"6579","TLE2","COL7A1"
"6580","TLE3","COL7A1"
"6581","TLE4","COL7A1"
"6582","TBL1XR1","COL7A1"
"6583","HDAC11","COL7A1"
"6584","HDAC10","COL7A1"
"6585","CUL1","COL7A1"
"6586","HDAC3","COL7A1"
"6587","CCNC","COL7A1"
"6588","NCOR1","COL7A1"
"6589","NCOR2","COL7A1"
"6590","HDAC9","COL7A1"
"6591","HDAC4","COL7A1"
"6592","RBX1","COL7A1"
"6593","STAT3","COL7A1"
"6594","NOD2","COL7A1"
"6595","ITGB1BP1","COL7A1"
"6596","TSPAN15","COL7A1"
"6597","TSPAN17","COL7A1"
"6598","GSX2","COL7A1"
"6599","NOV","COL7A1"
"6600","TSPAN14","COL7A1"
"6601","PDCD10","COL7A1"
"6602","KIT","COL7A1"
"6603","TSPAN10","COL7A1"
"6604","TSPAN33","COL7A1"
"6605","WNT1","COL7A1"
"6606","SLC35C2","COL7A1"
"6607","TSPAN5","COL7A1"
"6608","C3orf17","COL7A1"
"6609","ASCL1","COL7A1"
"6610","AAK1","COL7A1"
"6611","NOTCH1","COL7A1"
"6612","EYA1","COL7A1"
"6613","ERH","COL7A1"
"6614","FGF10","COL7A1"
"6615","MESP1","COL7A1"
"6616","HDAC1","BET1"
"6617","PHB2","BET1"
"6618","TAGLN","BET1"
"6619","ITGAV","BET1"
"6620","SLC3A1","BET1"
"6621","CANX","BET1"
"6622","FLOT1","BET1"
"6623","NQO1","BET1"
"6624","PCF11","BET1"
"6625","F2R","BET1"
"6626","LAMB2","BET1"
"6627","CD4","BET1"
"6628","SLC4A3","BET1"
"6629","S100A13","BET1"
"6630","CNTN1","BET1"
"6631","TCAP","BET1"
"6632","STAT5A","BET1"
"6633","ARL6IP5","BET1"
"6634","ANXA6","BET1"
"6635","ABCC8","BET1"
"6636","SLC12A3","BET1"
"6637","COL18A1","BET1"
"6638","HMGCR","BET1"
"6639","SFPQ","BET1"
"6640","SEC62","BET1"
"6641","BRCA1","BET1"
"6642","PSMD10","BET1"
"6643","PTHLH","BET1"
"6644","RBP1","BET1"
"6645","P2RY10","BET1"
"6646","CD69","BET1"
"6647","TARP","BET1"
"6648","CD3D","BET1"
"6649","RAG2","BET1"
"6650","RRAS2","BET1"
"6651","ID2","BET1"
"6652","CD28","BET1"
"6653","GATA3","BET1"
"6654","TRAT1","BET1"
"6655","EGR2","BET1"
"6656","TNFRSF18","BET1"
"6657","LCK","BET1"
"6658","GZMB","BET1"
"6659","BCL2A1","BET1"
"6660","CCR7","BET1"
"6661","CD83","BET1"
"6662","CCL5","BET1"
"6663","TRAF1","BET1"
"6664","IL12B","BET1"
"6665","CX3CL1","BET1"
"6666","RELB","BET1"
"6667","EGR1","BET1"
"6668","CARD11","BET1"
"6669","NFKB2","BET1"
"6670","ICAM1","BET1"
"6671","IRF7","BET1"
"6672","JUNB","BET1"
"6673","IL10RA","BET1"
"6674","CD86","BET1"
"6675","BIRC2","BET1"
"6676","BIRC3","BET1"
"6677","CD80","BET1"
"6678","ZAP70","BET1"
"6679","DDR1","BET1"
"6680","CD7","BET1"
"6681","CD3G","BET1"
"6682","TOX","BET1"
"6683","GZMA","BET1"
"6684","DTX1","BET1"
"6685","LAT","BET1"
"6686","RAG1","BET1"
"6687","PTCRA","BET1"
"6688","CD2","BET1"
"6689","NFATC1","BET1"
"6690","NOTCH3","BET1"
"6691","CD74","BET1"
"6692","THY1","BET1"
"6693","CTLA4","BET1"
"6694","MAMLD1","BET1"
"6695","CREBBP","BET1"
"6696","E2F1","BET1"
"6697","E2F3","BET1"
"6698","EIF2C3","BET1"
"6699","EIF2C4","BET1"
"6700","EP300","BET1"
"6701","SNW1","BET1"
"6702","TNRC6B","BET1"
"6703","KAT2A","BET1"
"6704","EIF2C1","BET1"
"6705","EIF2C2","BET1"
"6706","TNRC6A","BET1"
"6707","RBPJ","BET1"
"6708","JUN","BET1"
"6709","MOV10","BET1"
"6710","LOC441488","BET1"
"6711","NOTCH2","BET1"
"6712","NOTCH4","BET1"
"6713","MAML3","BET1"
"6714","TNRC6C","BET1"
"6715","CCND1","BET1"
"6716","TFDP1","BET1"
"6717","LOC728030","BET1"
"6718","MAML2","BET1"
"6719","KAT2B","BET1"
"6720","MAML1","BET1"
"6721","ADAM10","BET1"
"6722","DTX2","BET1"
"6723","MIB2","BET1"
"6724","JAG1","BET1"
"6725","DTX4","BET1"
"6726","NCSTN","BET1"
"6727","DLL1","BET1"
"6728","JAG2","BET1"
"6729","ARRB1","BET1"
"6730","ARRB2","BET1"
"6731","APH1A","BET1"
"6732","PSENEN","BET1"
"6733","PSEN1","BET1"
"6734","PSEN2","BET1"
"6735","MIB1","BET1"
"6736","RPS27A","BET1"
"6737","ADAM17","BET1"
"6738","RPS27AP11","BET1"
"6739","UBA52","BET1"
"6740","APH1B","BET1"
"6741","DNER","BET1"
"6742","ST3GAL6","BET1"
"6743","TMED2","BET1"
"6744","POFUT1","BET1"
"6745","B4GALT1","BET1"
"6746","MFNG","BET1"
"6747","ATP2A1","BET1"
"6748","ATP2A2","BET1"
"6749","ATP2A3","BET1"
"6750","FURIN","BET1"
"6751","POGLUT1","BET1"
"6752","RAB6A","BET1"
"6753","SEL1L","BET1"
"6754","ST3GAL3","BET1"
"6755","HDAC6","BET1"
"6756","HDAC5","BET1"
"6757","CDK8","BET1"
"6758","HEYL","BET1"
"6759","HDAC2","BET1"
"6760","HIF1A","BET1"
"6761","HES1","BET1"
"6762","HES5","BET1"
"6763","HDAC7","BET1"
"6764","HDAC8","BET1"
"6765","SKP1","BET1"
"6766","TBL1X","BET1"
"6767","TLE1","BET1"
"6768","TLE2","BET1"
"6769","TLE3","BET1"
"6770","TLE4","BET1"
"6771","TBL1XR1","BET1"
"6772","HDAC11","BET1"
"6773","HDAC10","BET1"
"6774","CUL1","BET1"
"6775","HDAC3","BET1"
"6776","CCNC","BET1"
"6777","NCOR1","BET1"
"6778","NCOR2","BET1"
"6779","HDAC9","BET1"
"6780","HDAC4","BET1"
"6781","RBX1","BET1"
"6782","STAT3","BET1"
"6783","NOD2","BET1"
"6784","ITGB1BP1","BET1"
"6785","TSPAN15","BET1"
"6786","TSPAN17","BET1"
"6787","GSX2","BET1"
"6788","NOV","BET1"
"6789","TSPAN14","BET1"
"6790","PDCD10","BET1"
"6791","KIT","BET1"
"6792","TSPAN10","BET1"
"6793","TSPAN33","BET1"
"6794","WNT1","BET1"
"6795","SLC35C2","BET1"
"6796","TSPAN5","BET1"
"6797","C3orf17","BET1"
"6798","ASCL1","BET1"
"6799","AAK1","BET1"
"6800","NOTCH1","BET1"
"6801","EYA1","BET1"
"6802","ERH","BET1"
"6803","FGF10","BET1"
"6804","MESP1","BET1"
"6805","HDAC1","MEF2A"
"6806","PHB2","MEF2A"
"6807","TAGLN","MEF2A"
"6808","ITGAV","MEF2A"
"6809","SLC3A1","MEF2A"
"6810","CANX","MEF2A"
"6811","FLOT1","MEF2A"
"6812","NQO1","MEF2A"
"6813","PCF11","MEF2A"
"6814","F2R","MEF2A"
"6815","LAMB2","MEF2A"
"6816","CD4","MEF2A"
"6817","SLC4A3","MEF2A"
"6818","S100A13","MEF2A"
"6819","CNTN1","MEF2A"
"6820","TCAP","MEF2A"
"6821","STAT5A","MEF2A"
"6822","ARL6IP5","MEF2A"
"6823","ANXA6","MEF2A"
"6824","ABCC8","MEF2A"
"6825","SLC12A3","MEF2A"
"6826","COL18A1","MEF2A"
"6827","HMGCR","MEF2A"
"6828","SFPQ","MEF2A"
"6829","SEC62","MEF2A"
"6830","BRCA1","MEF2A"
"6831","PSMD10","MEF2A"
"6832","PTHLH","MEF2A"
"6833","RBP1","MEF2A"
"6834","P2RY10","MEF2A"
"6835","CD69","MEF2A"
"6836","TARP","MEF2A"
"6837","CD3D","MEF2A"
"6838","RAG2","MEF2A"
"6839","RRAS2","MEF2A"
"6840","ID2","MEF2A"
"6841","CD28","MEF2A"
"6842","GATA3","MEF2A"
"6843","TRAT1","MEF2A"
"6844","EGR2","MEF2A"
"6845","TNFRSF18","MEF2A"
"6846","LCK","MEF2A"
"6847","GZMB","MEF2A"
"6848","BCL2A1","MEF2A"
"6849","CCR7","MEF2A"
"6850","CD83","MEF2A"
"6851","CCL5","MEF2A"
"6852","TRAF1","MEF2A"
"6853","IL12B","MEF2A"
"6854","CX3CL1","MEF2A"
"6855","RELB","MEF2A"
"6856","EGR1","MEF2A"
"6857","CARD11","MEF2A"
"6858","NFKB2","MEF2A"
"6859","ICAM1","MEF2A"
"6860","IRF7","MEF2A"
"6861","JUNB","MEF2A"
"6862","IL10RA","MEF2A"
"6863","CD86","MEF2A"
"6864","BIRC2","MEF2A"
"6865","BIRC3","MEF2A"
"6866","CD80","MEF2A"
"6867","ZAP70","MEF2A"
"6868","DDR1","MEF2A"
"6869","CD7","MEF2A"
"6870","CD3G","MEF2A"
"6871","TOX","MEF2A"
"6872","GZMA","MEF2A"
"6873","DTX1","MEF2A"
"6874","LAT","MEF2A"
"6875","RAG1","MEF2A"
"6876","PTCRA","MEF2A"
"6877","CD2","MEF2A"
"6878","NFATC1","MEF2A"
"6879","NOTCH3","MEF2A"
"6880","CD74","MEF2A"
"6881","THY1","MEF2A"
"6882","CTLA4","MEF2A"
"6883","MAMLD1","MEF2A"
"6884","CREBBP","MEF2A"
"6885","E2F1","MEF2A"
"6886","E2F3","MEF2A"
"6887","EIF2C3","MEF2A"
"6888","EIF2C4","MEF2A"
"6889","EP300","MEF2A"
"6890","SNW1","MEF2A"
"6891","TNRC6B","MEF2A"
"6892","KAT2A","MEF2A"
"6893","EIF2C1","MEF2A"
"6894","EIF2C2","MEF2A"
"6895","TNRC6A","MEF2A"
"6896","RBPJ","MEF2A"
"6897","JUN","MEF2A"
"6898","MOV10","MEF2A"
"6899","LOC441488","MEF2A"
"6900","NOTCH2","MEF2A"
"6901","NOTCH4","MEF2A"
"6902","MAML3","MEF2A"
"6903","TNRC6C","MEF2A"
"6904","CCND1","MEF2A"
"6905","TFDP1","MEF2A"
"6906","LOC728030","MEF2A"
"6907","MAML2","MEF2A"
"6908","KAT2B","MEF2A"
"6909","MAML1","MEF2A"
"6910","ADAM10","MEF2A"
"6911","DTX2","MEF2A"
"6912","MIB2","MEF2A"
"6913","JAG1","MEF2A"
"6914","DTX4","MEF2A"
"6915","NCSTN","MEF2A"
"6916","DLL1","MEF2A"
"6917","JAG2","MEF2A"
"6918","ARRB1","MEF2A"
"6919","ARRB2","MEF2A"
"6920","APH1A","MEF2A"
"6921","PSENEN","MEF2A"
"6922","PSEN1","MEF2A"
"6923","PSEN2","MEF2A"
"6924","MIB1","MEF2A"
"6925","RPS27A","MEF2A"
"6926","ADAM17","MEF2A"
"6927","RPS27AP11","MEF2A"
"6928","UBA52","MEF2A"
"6929","APH1B","MEF2A"
"6930","DNER","MEF2A"
"6931","ST3GAL6","MEF2A"
"6932","TMED2","MEF2A"
"6933","POFUT1","MEF2A"
"6934","B4GALT1","MEF2A"
"6935","MFNG","MEF2A"
"6936","ATP2A1","MEF2A"
"6937","ATP2A2","MEF2A"
"6938","ATP2A3","MEF2A"
"6939","FURIN","MEF2A"
"6940","POGLUT1","MEF2A"
"6941","RAB6A","MEF2A"
"6942","SEL1L","MEF2A"
"6943","ST3GAL3","MEF2A"
"6944","HDAC6","MEF2A"
"6945","HDAC5","MEF2A"
"6946","CDK8","MEF2A"
"6947","HEYL","MEF2A"
"6948","HDAC2","MEF2A"
"6949","HIF1A","MEF2A"
"6950","HES1","MEF2A"
"6951","HES5","MEF2A"
"6952","HDAC7","MEF2A"
"6953","HDAC8","MEF2A"
"6954","SKP1","MEF2A"
"6955","TBL1X","MEF2A"
"6956","TLE1","MEF2A"
"6957","TLE2","MEF2A"
"6958","TLE3","MEF2A"
"6959","TLE4","MEF2A"
"6960","TBL1XR1","MEF2A"
"6961","HDAC11","MEF2A"
"6962","HDAC10","MEF2A"
"6963","CUL1","MEF2A"
"6964","HDAC3","MEF2A"
"6965","CCNC","MEF2A"
"6966","NCOR1","MEF2A"
"6967","NCOR2","MEF2A"
"6968","HDAC9","MEF2A"
"6969","HDAC4","MEF2A"
"6970","RBX1","MEF2A"
"6971","STAT3","MEF2A"
"6972","NOD2","MEF2A"
"6973","ITGB1BP1","MEF2A"
"6974","TSPAN15","MEF2A"
"6975","TSPAN17","MEF2A"
"6976","GSX2","MEF2A"
"6977","NOV","MEF2A"
"6978","TSPAN14","MEF2A"
"6979","PDCD10","MEF2A"
"6980","KIT","MEF2A"
"6981","TSPAN10","MEF2A"
"6982","TSPAN33","MEF2A"
"6983","WNT1","MEF2A"
"6984","SLC35C2","MEF2A"
"6985","TSPAN5","MEF2A"
"6986","C3orf17","MEF2A"
"6987","ASCL1","MEF2A"
"6988","AAK1","MEF2A"
"6989","NOTCH1","MEF2A"
"6990","EYA1","MEF2A"
"6991","ERH","MEF2A"
"6992","FGF10","MEF2A"
"6993","MESP1","MEF2A"
"6994","HDAC1","PCDH7"
"6995","PHB2","PCDH7"
"6996","TAGLN","PCDH7"
"6997","ITGAV","PCDH7"
"6998","SLC3A1","PCDH7"
"6999","CANX","PCDH7"
"7000","FLOT1","PCDH7"
"7001","NQO1","PCDH7"
"7002","PCF11","PCDH7"
"7003","F2R","PCDH7"
"7004","LAMB2","PCDH7"
"7005","CD4","PCDH7"
"7006","SLC4A3","PCDH7"
"7007","S100A13","PCDH7"
"7008","CNTN1","PCDH7"
"7009","TCAP","PCDH7"
"7010","STAT5A","PCDH7"
"7011","ARL6IP5","PCDH7"
"7012","ANXA6","PCDH7"
"7013","ABCC8","PCDH7"
"7014","SLC12A3","PCDH7"
"7015","COL18A1","PCDH7"
"7016","HMGCR","PCDH7"
"7017","SFPQ","PCDH7"
"7018","SEC62","PCDH7"
"7019","BRCA1","PCDH7"
"7020","PSMD10","PCDH7"
"7021","PTHLH","PCDH7"
"7022","RBP1","PCDH7"
"7023","P2RY10","PCDH7"
"7024","CD69","PCDH7"
"7025","TARP","PCDH7"
"7026","CD3D","PCDH7"
"7027","RAG2","PCDH7"
"7028","RRAS2","PCDH7"
"7029","ID2","PCDH7"
"7030","CD28","PCDH7"
"7031","GATA3","PCDH7"
"7032","TRAT1","PCDH7"
"7033","EGR2","PCDH7"
"7034","TNFRSF18","PCDH7"
"7035","LCK","PCDH7"
"7036","GZMB","PCDH7"
"7037","BCL2A1","PCDH7"
"7038","CCR7","PCDH7"
"7039","CD83","PCDH7"
"7040","CCL5","PCDH7"
"7041","TRAF1","PCDH7"
"7042","IL12B","PCDH7"
"7043","CX3CL1","PCDH7"
"7044","RELB","PCDH7"
"7045","EGR1","PCDH7"
"7046","CARD11","PCDH7"
"7047","NFKB2","PCDH7"
"7048","ICAM1","PCDH7"
"7049","IRF7","PCDH7"
"7050","JUNB","PCDH7"
"7051","IL10RA","PCDH7"
"7052","CD86","PCDH7"
