ProImmune,AntiImmune
CD47,PAWR
NCK2,PAWR
SIRPG,PAWR
NCK1,PAWR
LCK,PAWR
ZAP70,PAWR
IL12B,PAWR
CD24,PAWR
EBI3,PAWR
ICOSLG,PAWR
CD28,PAWR
RAB27A,PAWR
CLEC4E,PAWR
IFNE,PAWR
SLC11A1,PAWR
IFNA8,PAWR
LCP1,PAWR
RPS6,PAWR
CLEC4D,PAWR
IFNA13,PAWR
SLAMF6,PAWR
IL6,PAWR
IFNA6,PAWR
IFNA17,PAWR
IFNA21,PAWR
IFNA4,PAWR
IFNA5,PAWR
ATP7A,PAWR
IFNW1,PAWR
SEMA4A,PAWR
APBB1IP,PAWR
LY9,PAWR
IFNA16,PAWR
PSEN1,PAWR
IFNA7,PAWR
IL18R1,PAWR
FOXP1,PAWR
PTGER4,PAWR
IFNK,PAWR
RC3H2,PAWR
IFNA14,PAWR
TSC1,PAWR
BATF,PAWR
EIF2AK4,PAWR
RORC,PAWR
ICAM1,PAWR
CD86,PAWR
STAT6,PAWR
IFNG,PAWR
F2RL1,PAWR
CD1C,PAWR
ZFPM1,PAWR
RELB,PAWR
IFNA1,PAWR
LEF1,PAWR
IFNA10,PAWR
IRF4,PAWR
FCER1G,PAWR
ITGAL,PAWR
BCL3,PAWR
RORA,PAWR
EOMES,PAWR
FADD,PAWR
IL12A,PAWR
P2RX7,PAWR
IL12RB1,PAWR
PVRL2,PAWR
IL23R,PAWR
PVR,PAWR
HLA-E,PAWR
HLA-B,PAWR
NCR3,PAWR
IL23A,PAWR
STX7,PAWR
TMIGD2,PAWR
EPO,PAWR
IL2,PAWR
GPAM,PAWR
PYCARD,PAWR
IGF1,PAWR
HHLA2,PAWR
TNFSF9,PAWR
IL2RA,PAWR
PYDC1,PAWR
IGF2,PAWR
IGFBP2,PAWR
AGER,PAWR
STAT5B,PAWR
HSPD1,PAWR
IL1B,PAWR
ZBTB1,PAWR
ZP3,PAWR
CCR2,PAWR
SYK,PAWR
RIPK2,PAWR
CD83,PAWR
CD244,PAWR
NKAP,PAWR
CD55,PAWR
AP3D1,PAWR
CCL19,PAWR
PRKCQ,PAWR
RASAL3,PAWR
NCKAP1L,PAWR
MYB,PAWR
PNP,PAWR
CD80,PAWR
HSPH1,PAWR
TGFBR2,PAWR
ZBTB16,PAWR
AP3B1,PAWR
RARA,PAWR
ITPKB,PAWR
ADA,PAWR
CD3E,PHPT1
IL7,PHPT1
IL18,PHPT1
CD276,PHPT1
IL21,PHPT1
SART1,PHPT1
CD47,PHPT1
NCK2,PHPT1
SIRPG,PHPT1
NCK1,PHPT1
LCK,PHPT1
ZAP70,PHPT1
IL12B,PHPT1
CD24,PHPT1
EBI3,PHPT1
ICOSLG,PHPT1
CD28,PHPT1
RAB27A,PHPT1
CLEC4E,PHPT1
IFNE,PHPT1
SLC11A1,PHPT1
IFNA8,PHPT1
LCP1,PHPT1
RPS6,PHPT1
CLEC4D,PHPT1
IFNA13,PHPT1
SLAMF6,PHPT1
IL6,PHPT1
IFNA6,PHPT1
IFNA17,PHPT1
IFNA21,PHPT1
IFNA4,PHPT1
IFNA5,PHPT1
ATP7A,PHPT1
IFNW1,PHPT1
SEMA4A,PHPT1
APBB1IP,PHPT1
LY9,PHPT1
IFNA16,PHPT1
PSEN1,PHPT1
IFNA7,PHPT1
IL18R1,PHPT1
FOXP1,PHPT1
PTGER4,PHPT1
IFNK,PHPT1
RC3H2,PHPT1
IFNA14,PHPT1
TSC1,PHPT1
BATF,PHPT1
EIF2AK4,PHPT1
RORC,PHPT1
ICAM1,PHPT1
CD86,PHPT1
STAT6,PHPT1
IFNG,PHPT1
F2RL1,PHPT1
CD1C,PHPT1
ZFPM1,PHPT1
RELB,PHPT1
IFNA1,PHPT1
LEF1,PHPT1
IFNA10,PHPT1
IRF4,PHPT1
FCER1G,PHPT1
ITGAL,PHPT1
BCL3,PHPT1
RORA,PHPT1
EOMES,PHPT1
FADD,PHPT1
IL12A,PHPT1
P2RX7,PHPT1
IL12RB1,PHPT1
PVRL2,PHPT1
IL23R,PHPT1
PVR,PHPT1
HLA-E,PHPT1
HLA-B,PHPT1
NCR3,PHPT1
IL23A,PHPT1
STX7,PHPT1
TMIGD2,PHPT1
EPO,PHPT1
IL2,PHPT1
GPAM,PHPT1
PYCARD,PHPT1
IGF1,PHPT1
HHLA2,PHPT1
TNFSF9,PHPT1
IL2RA,PHPT1
PYDC1,PHPT1
IGF2,PHPT1
IGFBP2,PHPT1
AGER,PHPT1
STAT5B,PHPT1
HSPD1,PHPT1
IL1B,PHPT1
ZBTB1,PHPT1
ZP3,PHPT1
CCR2,PHPT1
SYK,PHPT1
RIPK2,PHPT1
CD83,PHPT1
CD244,PHPT1
NKAP,PHPT1
CD55,PHPT1
AP3D1,PHPT1
CCL19,PHPT1
PRKCQ,PHPT1
RASAL3,PHPT1
NCKAP1L,PHPT1
MYB,PHPT1
PNP,PHPT1
CD80,PHPT1
HSPH1,PHPT1
TGFBR2,PHPT1
ZBTB16,PHPT1
AP3B1,PHPT1
RARA,PHPT1
ITPKB,PHPT1
ADA,PHPT1
CD3E,ELF1
IL7,ELF1
IL18,ELF1
CD276,ELF1
IL21,ELF1
SART1,ELF1
CD47,ELF1
NCK2,ELF1
SIRPG,ELF1
NCK1,ELF1
LCK,ELF1
ZAP70,ELF1
IL12B,ELF1
CD24,ELF1
EBI3,ELF1
ICOSLG,ELF1
CD28,ELF1
RAB27A,ELF1
CLEC4E,ELF1
IFNE,ELF1
SLC11A1,ELF1
IFNA8,ELF1
LCP1,ELF1
RPS6,ELF1
CLEC4D,ELF1
IFNA13,ELF1
SLAMF6,ELF1
IL6,ELF1
IFNA6,ELF1
IFNA17,ELF1
IFNA21,ELF1
IFNA4,ELF1
IFNA5,ELF1
ATP7A,ELF1
IFNW1,ELF1
SEMA4A,ELF1
APBB1IP,ELF1
LY9,ELF1
IFNA16,ELF1
PSEN1,ELF1
IFNA7,ELF1
IL18R1,ELF1
FOXP1,ELF1
PTGER4,ELF1
IFNK,ELF1
RC3H2,ELF1
IFNA14,ELF1
TSC1,ELF1
BATF,ELF1
EIF2AK4,ELF1
RORC,ELF1
ICAM1,ELF1
CD86,ELF1
STAT6,ELF1
IFNG,ELF1
F2RL1,ELF1
CD1C,ELF1
ZFPM1,ELF1
RELB,ELF1
IFNA1,ELF1
LEF1,ELF1
IFNA10,ELF1
IRF4,ELF1
FCER1G,ELF1
ITGAL,ELF1
BCL3,ELF1
RORA,ELF1
EOMES,ELF1
FADD,ELF1
IL12A,ELF1
P2RX7,ELF1
IL12RB1,ELF1
PVRL2,ELF1
IL23R,ELF1
PVR,ELF1
HLA-E,ELF1
HLA-B,ELF1
NCR3,ELF1
IL23A,ELF1
STX7,ELF1
TMIGD2,ELF1
EPO,ELF1
IL2,ELF1
GPAM,ELF1
PYCARD,ELF1
IGF1,ELF1
HHLA2,ELF1
TNFSF9,ELF1
IL2RA,ELF1
PYDC1,ELF1
IGF2,ELF1
IGFBP2,ELF1
AGER,ELF1
STAT5B,ELF1
HSPD1,ELF1
IL1B,ELF1
ZBTB1,ELF1
ZP3,ELF1
CCR2,ELF1
SYK,ELF1
RIPK2,ELF1
CD83,ELF1
CD244,ELF1
NKAP,ELF1
CD55,ELF1
AP3D1,ELF1
CCL19,ELF1
PRKCQ,ELF1
RASAL3,ELF1
NCKAP1L,ELF1
MYB,ELF1
PNP,ELF1
CD80,ELF1
HSPH1,ELF1
TGFBR2,ELF1
ZBTB16,ELF1
AP3B1,ELF1
RARA,ELF1
ITPKB,ELF1
ADA,ELF1
CD3E,PTPN22
IL7,PTPN22
IL18,PTPN22
CD276,PTPN22
IL21,PTPN22
SART1,PTPN22
CD47,PTPN22
NCK2,PTPN22
SIRPG,PTPN22
NCK1,PTPN22
LCK,PTPN22
ZAP70,PTPN22
IL12B,PTPN22
CD24,PTPN22
EBI3,PTPN22
ICOSLG,PTPN22
CD28,PTPN22
RAB27A,PTPN22
CLEC4E,PTPN22
IFNE,PTPN22
SLC11A1,PTPN22
IFNA8,PTPN22
LCP1,PTPN22
RPS6,PTPN22
CLEC4D,PTPN22
IFNA13,PTPN22
SLAMF6,PTPN22
IL6,PTPN22
IFNA6,PTPN22
IFNA17,PTPN22
IFNA21,PTPN22
IFNA4,PTPN22
IFNA5,PTPN22
ATP7A,PTPN22
IFNW1,PTPN22
SEMA4A,PTPN22
APBB1IP,PTPN22
LY9,PTPN22
IFNA16,PTPN22
PSEN1,PTPN22
IFNA7,PTPN22
IL18R1,PTPN22
FOXP1,PTPN22
PTGER4,PTPN22
IFNK,PTPN22
RC3H2,PTPN22
IFNA14,PTPN22
TSC1,PTPN22
BATF,PTPN22
EIF2AK4,PTPN22
RORC,PTPN22
ICAM1,PTPN22
CD86,PTPN22
STAT6,PTPN22
IFNG,PTPN22
F2RL1,PTPN22
CD1C,PTPN22
ZFPM1,PTPN22
RELB,PTPN22
IFNA1,PTPN22
LEF1,PTPN22
IFNA10,PTPN22
IRF4,PTPN22
FCER1G,PTPN22
ITGAL,PTPN22
BCL3,PTPN22
RORA,PTPN22
EOMES,PTPN22
FADD,PTPN22
IL12A,PTPN22
P2RX7,PTPN22
IL12RB1,PTPN22
PVRL2,PTPN22
IL23R,PTPN22
PVR,PTPN22
HLA-E,PTPN22
HLA-B,PTPN22
NCR3,PTPN22
IL23A,PTPN22
STX7,PTPN22
TMIGD2,PTPN22
EPO,PTPN22
IL2,PTPN22
GPAM,PTPN22
