"","ProInfection","AntiInfection"
"5870","MAP4K4","MAP2K3"
"5871","SAT1","MAP2K3"
"5872","CTNNA1","MAP2K3"
"5873","PKM2","MAP2K3"
"5874","RAB4A","MAP2K3"
"5875","IDH2","MAP2K3"
"5876","SQRDL","MAP2K3"
"5877","DNAJC7","MAP2K3"
"5878","ECI2","MAP2K3"
"5879","ACLY","MAP2K3"
"5880","LGALS1","MAP2K3"
"5881","HSD17B8","MAP2K3"
"5882","ADD2","MAP2K3"
"5883","LGALS3","MAP2K3"
"5884","ITGAE","MAP2K3"
"5885","GPR56","MAP2K3"
"5886","RBPJ","MAP2K3"
"5887","DDIT4","MAP2K3"
"5888","ISG20","MAP2K3"
"5889","RPS25","MAP2K3"
"5890","CTSS","MAP2K3"
"5891","NFKB2","MAP2K3"
"5892","RASL12","MAP2K3"
"5893","ATF4","MAP2K3"
"5894","IFIT2","MAP2K3"
"5895","PDE2A","MAP2K3"
"5896","ANPEP","MAP2K3"
"5897","BACE2","MAP2K3"
"5898","TOP2A","MAP2K3"
"5899","MYC","MAP2K3"
"5900","ELF3","MAP2K3"
"5901","HIST1H2BK","MAP2K3"
"5902","FUBP3","MAP2K3"
"5903","SH3BP5","MAP2K3"
"5904","TSC22D3","MAP2K3"
"5905","ALDOC","SDCBP"
"5906","DFNA5","SDCBP"
"5907","NET1","SDCBP"
"5908","CBX1","SDCBP"
"5909","FABP5","SDCBP"
"5910","S100A10","SDCBP"
"5911","GNAI1","SDCBP"
"5912","SOX4","SDCBP"
"5913","APP","SDCBP"
"5914","C5orf13","SDCBP"
"5915","NME1","SDCBP"
"5916","AP2B1","SDCBP"
"5917","VAMP8","SDCBP"
"5918","MAP4K4","SDCBP"
"5919","SAT1","SDCBP"
"5920","CTNNA1","SDCBP"
"5921","PKM2","SDCBP"
"5922","RAB4A","SDCBP"
"5923","IDH2","SDCBP"
"5924","SQRDL","SDCBP"
"5925","DNAJC7","SDCBP"
"5926","ECI2","SDCBP"
"5927","ACLY","SDCBP"
"5928","LGALS1","SDCBP"
"5929","HSD17B8","SDCBP"
"5930","ADD2","SDCBP"
"5931","LGALS3","SDCBP"
"5932","ITGAE","SDCBP"
"5933","GPR56","SDCBP"
"5934","RBPJ","SDCBP"
"5935","DDIT4","SDCBP"
"5936","ISG20","SDCBP"
"5937","RPS25","SDCBP"
"5938","CTSS","SDCBP"
"5939","NFKB2","SDCBP"
"5940","RASL12","SDCBP"
"5941","ATF4","SDCBP"
"5942","IFIT2","SDCBP"
"5943","PDE2A","SDCBP"
"5944","ANPEP","SDCBP"
"5945","BACE2","SDCBP"
"5946","TOP2A","SDCBP"
"5947","MYC","SDCBP"
"5948","ELF3","SDCBP"
"5949","HIST1H2BK","SDCBP"
"5950","FUBP3","SDCBP"
"5951","SH3BP5","SDCBP"
"5952","TSC22D3","SDCBP"
"5953","ALDOC","RAB1A"
"5954","DFNA5","RAB1A"
"5955","NET1","RAB1A"
"5956","CBX1","RAB1A"
"5957","FABP5","RAB1A"
"5958","S100A10","RAB1A"
"5959","GNAI1","RAB1A"
"5960","SOX4","RAB1A"
"5961","APP","RAB1A"
"5962","C5orf13","RAB1A"
"5963","NME1","RAB1A"
"5964","AP2B1","RAB1A"
"5965","VAMP8","RAB1A"
"5966","MAP4K4","RAB1A"
"5967","SAT1","RAB1A"
"5968","CTNNA1","RAB1A"
"5969","PKM2","RAB1A"
"5970","RAB4A","RAB1A"
"5971","IDH2","RAB1A"
"5972","SQRDL","RAB1A"
"5973","DNAJC7","RAB1A"
"5974","ECI2","RAB1A"
"5975","ACLY","RAB1A"
"5976","LGALS1","RAB1A"
"5977","HSD17B8","RAB1A"
"5978","ADD2","RAB1A"
"5979","LGALS3","RAB1A"
"5980","ITGAE","RAB1A"
"5981","GPR56","RAB1A"
"5982","RBPJ","RAB1A"
"5983","DDIT4","RAB1A"
"5984","ISG20","RAB1A"
"5985","RPS25","RAB1A"
"5986","CTSS","RAB1A"
"5987","NFKB2","RAB1A"
"5988","RASL12","RAB1A"
"5989","ATF4","RAB1A"
"5990","IFIT2","RAB1A"
"5991","PDE2A","RAB1A"
"5992","ANPEP","RAB1A"
"5993","BACE2","RAB1A"
"5994","TOP2A","RAB1A"
"5995","MYC","RAB1A"
"5996","ELF3","RAB1A"
"5997","HIST1H2BK","RAB1A"
"5998","FUBP3","RAB1A"
"5999","SH3BP5","RAB1A"
"6000","TSC22D3","RAB1A"
"6001","ALDOC","EWSR1"
"6002","DFNA5","EWSR1"
"6003","NET1","EWSR1"
"6004","CBX1","EWSR1"
"6005","FABP5","EWSR1"
"6006","S100A10","EWSR1"
"6007","GNAI1","EWSR1"
"6008","SOX4","EWSR1"
"6009","APP","EWSR1"
"6010","C5orf13","EWSR1"
"6011","NME1","EWSR1"
"6012","AP2B1","EWSR1"
"6013","VAMP8","EWSR1"
"6014","MAP4K4","EWSR1"
"6015","SAT1","EWSR1"
"6016","CTNNA1","EWSR1"
"6017","PKM2","EWSR1"
"6018","RAB4A","EWSR1"
"6019","IDH2","EWSR1"
"6020","SQRDL","EWSR1"
"6021","DNAJC7","EWSR1"
"6022","ECI2","EWSR1"
"6023","ACLY","EWSR1"
"6024","LGALS1","EWSR1"
"6025","HSD17B8","EWSR1"
"6026","ADD2","EWSR1"
"6027","LGALS3","EWSR1"
"6028","ITGAE","EWSR1"
"6029","GPR56","EWSR1"
"6030","RBPJ","EWSR1"
"6031","DDIT4","EWSR1"
"6032","ISG20","EWSR1"
"6033","RPS25","EWSR1"
"6034","CTSS","EWSR1"
"6035","NFKB2","EWSR1"
"6036","RASL12","EWSR1"
"6037","ATF4","EWSR1"
"6038","IFIT2","EWSR1"
"6039","PDE2A","EWSR1"
"6040","ANPEP","EWSR1"
"6041","BACE2","EWSR1"
"6042","TOP2A","EWSR1"
"6043","MYC","EWSR1"
"6044","ELF3","EWSR1"
"6045","HIST1H2BK","EWSR1"
"6046","FUBP3","EWSR1"
"6047","SH3BP5","EWSR1"
"6048","TSC22D3","EWSR1"
"6049","ALDOC","KLRC2"
"6050","DFNA5","KLRC2"
"6051","NET1","KLRC2"
"6052","CBX1","KLRC2"
"6053","FABP5","KLRC2"
"6054","S100A10","KLRC2"
"6055","GNAI1","KLRC2"
"6056","SOX4","KLRC2"
"6057","APP","KLRC2"
"6058","C5orf13","KLRC2"
"6059","NME1","KLRC2"
"6060","AP2B1","KLRC2"
"6061","VAMP8","KLRC2"
"6062","MAP4K4","KLRC2"
"6063","SAT1","KLRC2"
"6064","CTNNA1","KLRC2"
"6065","PKM2","KLRC2"
"6066","RAB4A","KLRC2"
"6067","IDH2","KLRC2"
"6068","SQRDL","KLRC2"
"6069","DNAJC7","KLRC2"
"6070","ECI2","KLRC2"
"6071","ACLY","KLRC2"
"6072","LGALS1","KLRC2"
"6073","HSD17B8","KLRC2"
"6074","ADD2","KLRC2"
"6075","LGALS3","KLRC2"
"6076","ITGAE","KLRC2"
"6077","GPR56","KLRC2"
"6078","RBPJ","KLRC2"
"6079","DDIT4","KLRC2"
"6080","ISG20","KLRC2"
"6081","RPS25","KLRC2"
"6082","CTSS","KLRC2"
"6083","NFKB2","KLRC2"
"6084","RASL12","KLRC2"
"6085","ATF4","KLRC2"
"6086","IFIT2","KLRC2"
"6087","PDE2A","KLRC2"
"6088","ANPEP","KLRC2"
"6089","BACE2","KLRC2"
"6090","TOP2A","KLRC2"
"6091","MYC","KLRC2"
"6092","ELF3","KLRC2"
"6093","HIST1H2BK","KLRC2"
"6094","FUBP3","KLRC2"
"6095","SH3BP5","KLRC2"
"6096","TSC22D3","KLRC2"
"6097","ALDOC","TRAF4"
"6098","DFNA5","TRAF4"
"6099","NET1","TRAF4"
"6100","CBX1","TRAF4"
"6101","FABP5","TRAF4"
"6102","S100A10","TRAF4"
"6103","GNAI1","TRAF4"
"6104","SOX4","TRAF4"
"6105","APP","TRAF4"
"6106","C5orf13","TRAF4"
"6107","NME1","TRAF4"
"6108","AP2B1","TRAF4"
"6109","VAMP8","TRAF4"
"6110","MAP4K4","TRAF4"
"6111","SAT1","TRAF4"
"6112","CTNNA1","TRAF4"
"6113","PKM2","TRAF4"
"6114","RAB4A","TRAF4"
"6115","IDH2","TRAF4"
"6116","SQRDL","TRAF4"
"6117","DNAJC7","TRAF4"
"6118","ECI2","TRAF4"
"6119","ACLY","TRAF4"
"6120","LGALS1","TRAF4"
"6121","HSD17B8","TRAF4"
"6122","ADD2","TRAF4"
"6123","LGALS3","TRAF4"
"6124","ITGAE","TRAF4"
"6125","GPR56","TRAF4"
"6126","RBPJ","TRAF4"
"6127","DDIT4","TRAF4"
"6128","ISG20","TRAF4"
"6129","RPS25","TRAF4"
"6130","CTSS","TRAF4"
"6131","NFKB2","TRAF4"
"6132","RASL12","TRAF4"
"6133","ATF4","TRAF4"
"6134","IFIT2","TRAF4"
"6135","PDE2A","TRAF4"
"6136","ANPEP","TRAF4"
"6137","BACE2","TRAF4"
"6138","TOP2A","TRAF4"
"6139","MYC","TRAF4"
"6140","ELF3","TRAF4"
"6141","HIST1H2BK","TRAF4"
"6142","FUBP3","TRAF4"
"6143","SH3BP5","TRAF4"
"6144","TSC22D3","TRAF4"
"6145","ALDOC","CCNK"
"6146","DFNA5","CCNK"
"6147","NET1","CCNK"
"6148","CBX1","CCNK"
"6149","FABP5","CCNK"
"6150","S100A10","CCNK"
"6151","GNAI1","CCNK"
"6152","SOX4","CCNK"
"6153","APP","CCNK"
"6154","C5orf13","CCNK"
"6155","NME1","CCNK"
"6156","AP2B1","CCNK"
"6157","VAMP8","CCNK"
"6158","MAP4K4","CCNK"
"6159","SAT1","CCNK"
"6160","CTNNA1","CCNK"
"6161","PKM2","CCNK"
"6162","RAB4A","CCNK"
"6163","IDH2","CCNK"
"6164","SQRDL","CCNK"
"6165","DNAJC7","CCNK"
"6166","ECI2","CCNK"
"6167","ACLY","CCNK"
"6168","LGALS1","CCNK"
"6169","HSD17B8","CCNK"
"6170","ADD2","CCNK"
"6171","LGALS3","CCNK"
"6172","ITGAE","CCNK"
"6173","GPR56","CCNK"
"6174","RBPJ","CCNK"
"6175","DDIT4","CCNK"
"6176","ISG20","CCNK"
"6177","RPS25","CCNK"
"6178","CTSS","CCNK"
"6179","NFKB2","CCNK"
"6180","RASL12","CCNK"
"6181","ATF4","CCNK"
"6182","IFIT2","CCNK"
"6183","PDE2A","CCNK"
"6184","ANPEP","CCNK"
"6185","BACE2","CCNK"
"6186","TOP2A","CCNK"
"6187","MYC","CCNK"
"6188","ELF3","CCNK"
"6189","HIST1H2BK","CCNK"
"6190","FUBP3","CCNK"
"6191","SH3BP5","CCNK"
"6192","TSC22D3","CCNK"
"6193","ALDOC","MCL1"
"6194","DFNA5","MCL1"
"6195","NET1","MCL1"
"6196","CBX1","MCL1"
"6197","FABP5","MCL1"
"6198","S100A10","MCL1"
"6199","GNAI1","MCL1"
"6200","SOX4","MCL1"
"6201","APP","MCL1"
"6202","C5orf13","MCL1"
"6203","NME1","MCL1"
"6204","AP2B1","MCL1"
"6205","VAMP8","MCL1"
"6206","MAP4K4","MCL1"
"6207","SAT1","MCL1"
"6208","CTNNA1","MCL1"
"6209","PKM2","MCL1"
"6210","RAB4A","MCL1"
"6211","IDH2","MCL1"
"6212","SQRDL","MCL1"
"6213","DNAJC7","MCL1"
"6214","ECI2","MCL1"
"6215","ACLY","MCL1"
"6216","LGALS1","MCL1"
"6217","HSD17B8","MCL1"
"6218","ADD2","MCL1"
"6219","LGALS3","MCL1"
"6220","ITGAE","MCL1"
"6221","GPR56","MCL1"
"6222","RBPJ","MCL1"
"6223","DDIT4","MCL1"
"6224","ISG20","MCL1"
"6225","RPS25","MCL1"
"6226","CTSS","MCL1"
"6227","NFKB2","MCL1"
"6228","RASL12","MCL1"
"6229","ATF4","MCL1"
"6230","IFIT2","MCL1"
"6231","PDE2A","MCL1"
"6232","ANPEP","MCL1"
"6233","BACE2","MCL1"
"6234","TOP2A","MCL1"
"6235","MYC","MCL1"
"6236","ELF3","MCL1"
"6237","HIST1H2BK","MCL1"
"6238","FUBP3","MCL1"
"6239","SH3BP5","MCL1"
"6240","TSC22D3","MCL1"
"6241","ALDOC","SRSF5"
"6242","DFNA5","SRSF5"
"6243","NET1","SRSF5"
"6244","CBX1","SRSF5"
"6245","FABP5","SRSF5"
"6246","S100A10","SRSF5"
"6247","GNAI1","SRSF5"
"6248","SOX4","SRSF5"
"6249","APP","SRSF5"
"6250","C5orf13","SRSF5"
"6251","NME1","SRSF5"
"6252","AP2B1","SRSF5"
"6253","VAMP8","SRSF5"
"6254","MAP4K4","SRSF5"
"6255","SAT1","SRSF5"
"6256","CTNNA1","SRSF5"
"6257","PKM2","SRSF5"
"6258","RAB4A","SRSF5"
"6259","IDH2","SRSF5"
"6260","SQRDL","SRSF5"
"6261","DNAJC7","SRSF5"
"6262","ECI2","SRSF5"
"6263","ACLY","SRSF5"
"6264","LGALS1","SRSF5"
"6265","HSD17B8","SRSF5"
"6266","ADD2","SRSF5"
"6267","LGALS3","SRSF5"
"6268","ITGAE","SRSF5"
"6269","GPR56","SRSF5"
"6270","RBPJ","SRSF5"
"6271","DDIT4","SRSF5"
"6272","ISG20","SRSF5"
"6273","RPS25","SRSF5"
"6274","CTSS","SRSF5"
"6275","NFKB2","SRSF5"
"6276","RASL12","SRSF5"
"6277","ATF4","SRSF5"
"6278","IFIT2","SRSF5"
"6279","PDE2A","SRSF5"
"6280","ANPEP","SRSF5"
"6281","BACE2","SRSF5"
"6282","TOP2A","SRSF5"
"6283","MYC","SRSF5"
"6284","ELF3","SRSF5"
"6285","HIST1H2BK","SRSF5"
"6286","FUBP3","SRSF5"
"6287","SH3BP5","SRSF5"
"6288","TSC22D3","SRSF5"
"6289","ALDOC","CCND1"
"6290","DFNA5","CCND1"
"6291","NET1","CCND1"
"6292","CBX1","CCND1"
"6293","FABP5","CCND1"
"6294","S100A10","CCND1"
"6295","GNAI1","CCND1"
"6296","SOX4","CCND1"
"6297","APP","CCND1"
"6298","C5orf13","CCND1"
"6299","NME1","CCND1"
"6300","AP2B1","CCND1"
"6301","VAMP8","CCND1"
"6302","MAP4K4","CCND1"
"6303","SAT1","CCND1"
"6304","CTNNA1","CCND1"
"6305","PKM2","CCND1"
"6306","RAB4A","CCND1"
"6307","IDH2","CCND1"
"6308","SQRDL","CCND1"
"6309","DNAJC7","CCND1"
"6310","ECI2","CCND1"
"6311","ACLY","CCND1"
"6312","LGALS1","CCND1"
"6313","HSD17B8","CCND1"
"6314","ADD2","CCND1"
"6315","LGALS3","CCND1"
"6316","ITGAE","CCND1"
"6317","GPR56","CCND1"
"6318","RBPJ","CCND1"
"6319","DDIT4","CCND1"
"6320","ISG20","CCND1"
"6321","RPS25","CCND1"
"6322","CTSS","CCND1"
"6323","NFKB2","CCND1"
"6324","RASL12","CCND1"
"6325","ATF4","CCND1"
"6326","IFIT2","CCND1"
"6327","PDE2A","CCND1"
"6328","ANPEP","CCND1"
"6329","BACE2","CCND1"
"6330","TOP2A","CCND1"
"6331","MYC","CCND1"
"6332","ELF3","CCND1"
"6333","HIST1H2BK","CCND1"
"6334","FUBP3","CCND1"
"6335","SH3BP5","CCND1"
"6336","TSC22D3","CCND1"
"6337","ALDOC","EGR3"
"6338","DFNA5","EGR3"
"6339","NET1","EGR3"
"6340","CBX1","EGR3"
"6341","FABP5","EGR3"
"6342","S100A10","EGR3"
"6343","GNAI1","EGR3"
"6344","SOX4","EGR3"
"6345","APP","EGR3"
"6346","C5orf13","EGR3"
"6347","NME1","EGR3"
"6348","AP2B1","EGR3"
"6349","VAMP8","EGR3"
"6350","MAP4K4","EGR3"
"6351","SAT1","EGR3"
"6352","CTNNA1","EGR3"
"6353","PKM2","EGR3"
"6354","RAB4A","EGR3"
"6355","IDH2","EGR3"
"6356","SQRDL","EGR3"
"6357","DNAJC7","EGR3"
"6358","ECI2","EGR3"
"6359","ACLY","EGR3"
"6360","LGALS1","EGR3"
"6361","HSD17B8","EGR3"
"6362","ADD2","EGR3"
"6363","LGALS3","EGR3"
"6364","ITGAE","EGR3"
"6365","GPR56","EGR3"
"6366","RBPJ","EGR3"
"6367","DDIT4","EGR3"
"6368","ISG20","EGR3"
"6369","RPS25","EGR3"
"6370","CTSS","EGR3"
"6371","NFKB2","EGR3"
"6372","RASL12","EGR3"
"6373","ATF4","EGR3"
"6374","IFIT2","EGR3"
"6375","PDE2A","EGR3"
"6376","ANPEP","EGR3"
"6377","BACE2","EGR3"
"6378","TOP2A","EGR3"
"6379","MYC","EGR3"
"6380","ELF3","EGR3"
"6381","HIST1H2BK","EGR3"
"6382","FUBP3","EGR3"
"6383","SH3BP5","EGR3"
"6384","TSC22D3","EGR3"
